gvkey,datadate,conm,ipodate,rdq,datacqtr,datafqtr,cusip,cik,TICKER,sic,addzip,exchg,fic,icaptq,atq,ltq,saleq,revtq,cogsq,xsgaq,oibdpq,oiadpq,ibq,txditcq,txdbq,itccy,oancfy,ivncfy,fincfy,sstky,prstkcy,dltisy,dltry,actq,lctq,invtq,dlcq,dlttq,mibq,mibtq,cheq,rectq,seqq,ceqq,niq,dpcy,dpq,wcapchy,capxy,sppey,xintq,ppentq,loq,xrdq,pstkrq,pstkq,cshoq,prccq,itccq,oancfq,ivncfq,fincfq,sstkq,prstkcq,dltisq,dltrq,dpcq,wcapchq,capxq,sppeq
4839,2010/9/30,FORD MOTOR CO,,2010/10/26,2010.5,2010.5,345370860,37996,F,3711,48126,11,USA,74070,177078,178818,29893,29893,23312,2192,4389,3042,1687,1027,,,10238,620,-13570,1230,0,25804,39701,,,6855,40881,75810,0,33,32611,78854,-1773,-1773,1687,,1347,,2946,,1469,35966,25533,,0,0,3472.655,12.24,,3781,-2224,-2397,388,0,10522,13065,,,919,
4839,2010/12/31,FORD MOTOR CO,,2011/1/28,2010.75,2010.75,345370860,37996,F,3711,48126,11,USA,61682,164687,165329,32428,32428,26152,2577,3699,2156,190,1135,,,11477,6908,-24421,1339,0,30821,47625,,,5917,41664,62324,0,31,29012,77458,-673,-673,190,5900,1543,,4092,,1346,34854,26779,5000,0,0,3782.711,16.79,,1239,6288,-10851,109,0,5017,7924,,,1146,
4839,2011/3/31,FORD MOTOR CO,,2011/4/26,2011,2011,345370860,37996,F,3711,48126,11,USA,62670,167391,164926,33114,33114,25873,2250,4991,3658,2551,1212,,,2497,6894,-3282,0,0,9268,13199,,,7414,41433,60205,0,39,29939,79703,2426,2426,2551,,1333,,929,0,1174,34646,26150,,0,0,3798.185,14.91,,2497,6894,-3282,0,0,9268,13199,,,929,0
4839,2011/6/30,FORD MOTOR CO,,2011/7/26,2011.25,2011.25,345370860,37996,F,3711,48126,11,USA,64847,168086,162736,35527,35527,28350,2550,4627,3346,2398,1371,,,6226,2823,-7005,0,0,18513,26292,,,7036,39053,59497,0,41,29410,80496,5309,5309,2398,,1281,,2022,,1127,35418,26379,,0,0,3799.829,13.79,,3729,-4071,-3723,0,0,9245,13093,,,1093,
4839,2011/9/30,FORD MOTOR CO,,2011/10/26,2011.5,2011.5,345370860,37996,F,3711,48126,11,USA,61488,162740,156714,33047,33047,26814,2385,3848,2564,1649,1109,,,10019,991,-9214,0,0,25070,35915,,,7212,39669,55462,0,44,28946,76825,5982,5982,1649,,1284,,3135,,1096,34630,26181,,0,0,3800.1,9.67,,3793,-1832,-2209,0,0,6557,9623,,,1113,
4839,2011/12/31,FORD MOTOR CO,,2012/1/27,2011.75,2011.75,345370860,37996,F,3711,48126,11,USA,74248,178348,163277,34576,34576,28763,2517,3296,1806,13615,696,,,9784,-3041,-4241,0,0,35921,43095,,,5901,40311,59177,0,43,32132,78541,15028,15028,13615,5376,1490,,4293,,1034,35209,30366,5300,0,0,3800.747,10.76,,-235,-4032,4973,0,0,10851,7180,,,1158,
4839,2012/3/31,FORD MOTOR CO,,2012/4/27,2012,2012,345370860,37996,F,3711,48126,11,USA,79216,182075,165425,32445,32445,26034,2272,4139,2649,1396,583,,,2075,-4511,370,0,27,10318,8164,,,7031,37924,62566,0,44,31045,79801,16606,16606,1396,,1490,,1093,,1011,36626,29555,,0,0,3816.367,12.475,,2075,-4511,370,0,27,10318,8164,,,1093,
4839,2012/6/30,FORD MOTOR CO,,2012/7/25,2012.25,2012.25,345370860,37996,F,3711,48126,11,USA,83017,181236,164157,33211,33211,26970,2371,3870,2381,1040,595,595,,5979,-7549,-347,0,59,20157,17099,,,7289,33959,65938,0,43,31714,78254,17036,17036,1040,,1489,,2284,,986,37985,28793,,0,0,3813.987,9.59,,3904,-3038,-717,0,32,9839,8935,,,1191,
4839,2012/9/30,FORD MOTOR CO,,2012/10/30,2012.5,2012.5,345370860,37996,F,3711,48126,11,USA,85908,184680,165474,32172,32172,25850,2329,3993,2548,1631,593,593,,9406,-12623,-382,0,92,25272,23041,,,8208,33902,66702,320,365,31424,79069,18841,18841,1631,,1445,,3603,,962,40464,28424,,0,0,3812.662,9.86,,3427,-5074,-35,0,33,5115,5942,,,1319,
4839,2012/12/31,FORD MOTOR CO,,2013/1/29,2012.75,2012.75,345370860,37996,F,3711,48126,11,USA,82607,190554,174243,35731,35731,30483,2804,2444,1418,1598,470,470,,9045,-14290,3705,0,125,32436,29210,,,7362,38762,66296,322,364,33837,82338,15947,15947,1598,6179,1026,,5488,,869,41393,34049,5500,0,0,3922.248,12.95,,-361,-1667,4087,0,33,7164,6169,,,1885,
