date,tot-value,vol,sharpe,pnl-pt
1981-04-24,100091.352849,0.000011,36.299681,1.827057
1981-04-27,99950.613404,0.000093,-2.302109,-0.968365
1981-04-28,99939.276868,0.000007,-35.521627,-1.167753
1981-04-29,99892.473638,0.000030,-15.406836,-2.028799
1981-04-30,99892.473638,0.000000,0.000000,-1.991229
1981-05-01,99855.311108,0.000024,-26.677504,-2.630707
1981-05-04,99880.679182,0.000016,-32.563787,-2.130729
1981-05-05,99919.236218,0.000024,-14.653851,-1.416908
1981-05-06,99984.016803,0.000040,-1.743927,-0.275572
1981-05-07,99997.116185,0.000008,-1.572052,-0.048878
1981-05-08,99902.642987,0.000057,-7.431116,-1.622617
1981-05-11,99944.208418,0.000025,-9.767036,-0.914616
1981-05-12,99958.242983,0.000008,-21.857789,-0.673500
1981-05-13,100029.088040,0.000041,3.044357,0.461715
1981-05-14,100142.270681,0.000066,9.407901,2.222979
1981-05-15,100113.714043,0.000016,30.085217,1.749447
1981-05-18,100113.714043,0.000000,0.000000,1.722940
1981-05-19,100068.983080,0.000025,11.852422,1.029598
1981-05-20,100068.983080,0.000000,0.000000,1.014457
1981-05-21,100068.983080,0.000000,0.000000,0.999755
1981-05-22,100116.066653,0.000026,19.417066,1.658095
1981-05-26,100084.203070,0.000017,20.987247,1.185959
1981-05-27,100067.936744,0.000009,33.426277,0.943566
1981-05-28,100067.936744,0.000000,0.000000,0.930640
1981-05-29,100184.419666,0.000062,12.866617,2.492158
1981-06-01,100100.172587,0.000045,9.741628,1.335634
1981-06-02,100134.545122,0.000018,32.294475,1.770331
1981-06-03,100134.545122,0.000000,0.000000,1.747339
1981-06-04,100134.545122,0.000000,0.000000,1.724937
1981-06-05,100134.545122,0.000000,51022872855106.030000,1.703103
1981-06-08,100098.091476,0.000019,22.848016,1.211006
1981-06-09,100061.085266,0.000019,14.035996,0.735967
1981-06-10,100118.550196,0.000028,18.055193,1.394708
1981-06-11,100118.119431,0.000000,0.000000,1.357695
1981-06-12,100363.668185,0.000122,12.908928,4.086159
1981-06-15,100191.046939,0.000085,9.797857,2.099417
1981-06-16,100228.866129,0.000019,51.887560,2.460926
